Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
Bolivia,2019,18.56,1200,6.82,583.3,40571.9918,,11.9
Bosnia and Herzegovina,2000,19.58,210,8.13,575.2,37021.9252,20.9710598,3.2
Bosnia and Herzegovina,2010,19.73,190,8.3,573.5,50576.3627,,2.5
Bosnia and Herzegovina,2015,19.85,130,8.33,572,59076.7294,50.18598938,2.5
Bosnia and Herzegovina,2019,20.16,95,8.25,550.9,70222.9107,40.19034958,2.5
Botswana,2000,12.92,760,46.25,1017,24326.4418,7.35284996,23.7
Botswana,2010,15.26,590,31.2,821.9,23602.2906,20.84837914,21.5
Botswana,2015,15.89,550,24.55,783.3,25311.4102,30.23933983,19.6
Botswana,2019,16.25,700,20.22,728.3,27231.6927,25.08139038,22.1
Brazil,2000,19.7,7400,4.47,581.2,36072.6462,,10.7
Brazil,2010,20.81,5500,5,491.7,54392.7826,,3.7
Brazil,2015,21.42,5300,5.6,449.1,59254.2905,51.32004166,2.5
Brazil,2019,21.9,5200,6.41,424.5,51213.6434,55.13629913,2.6
Brunei,2000,16.78,19,1.72,807.4,609121.9783,12.68708992,20
Brunei,2010,19,16,1.14,603.1,452388.4523,15.45913982,11.4
Brunei,2015,19.03,19,1.63,585.5,452933.3299,31.30059052,7.4
Brunei,2019,19.17,22,2.54,629.5,417852.6939,31.47384071,5.8
Bulgaria,2000,17.6,360,14.05,793,62233.1714,44.12976074,4
Bulgaria,2010,18.92,210,8.45,686.8,82155.7428,57.79518127,4
Bulgaria,2015,19.4,120,6.77,645.2,90166.8863,70.30153656,3.4
Bulgaria,2019,19.82,98,6.5,616.5,97025.5037,73.37917328,3
Burkina Faso,2000,15.52,1800,16.93,705,5756.2065,,22.6
Burkina Faso,2010,16.17,1700,15.82,685.5,9502.5335,3.57942009,13.3
Burkina Faso,2015,16.44,1700,15.44,676.8,10520.1265,5.063829899,12
Burkina Faso,2019,16.82,2000,14.38,647.8,11767.4352,7.096129894,14.1
Burundi,2000,12.97,3000,23.43,926.1,4564.5852,1.223620057,
Burundi,2010,15.61,1900,14.92,727.5,5575.4392,3.254610062,
Burundi,2015,16.18,2300,12.75,674.4,5252.524,5.133039951,
Burundi,2019,16.47,2500,12.12,651.6,4734.704,3.923569918,
Cape Verde,2000,20.36,29,18.18,479.1,5711.1151,2.014889956,14.5
Cape Verde,2010,22.07,33,18.44,427.7,7109.6427,18.0097599,14.2
Cape Verde,2015,21.69,24,16.73,436,4487.203,23.06306076,16.8
Cape Verde,2019,19.66,25,15.23,512.8,6144.5308,,14.5
Cambodia,2000,15.81,5100,6.84,766.9,16733.8323,2.481359959,23.6
Cambodia,2010,17.22,3700,6.34,685,25165.1361,13.96498966,11.2
Cambodia,2015,17.57,3200,5.75,660.4,28275.0296,13.13562965,8.9
Cambodia,2019,17.74,2800,5.49,652.4,35101.635,14.73896027,6
Cameroon,2000,15.06,9400,19.12,774.2,2516.5097,4.64523983,22.9
Cameroon,2010,15.88,8300,19.51,749.1,8918.9517,11.15701962,7.1
Cameroon,2015,16.41,6800,17.09,700.7,9423.2945,16.9623909,5.4
Cameroon,2019,17.09,7400,15.92,660.5,9916.2846,,6.7
Canada,2000,22.51,140,10.71,410.5,125585.7944,59.11445999,2.5
Canada,2010,24.35,91,10.26,327.2,166443.342,61.65584946,2.5
Canada,2015,24.72,120,11.16,311.9,199146.315,64.78695679,2.5
Canada,2019,25.15,78,10.34,301.3,228414.4326,75.69882202,2.5
Central African Republic,2000,11.77,3000,32.5,1059,5750.4532,1.917400002,39.2
Central African Republic,2010,12.51,4200,28.12,1002,8915.0714,2.671149969,30.3
Central African Republic,2015,12.77,4000,26.31,968.5,6348.1171,,49.9
Central African Republic,2019,13.17,5100,22.96,911.1,7208.1503,,49.2
Chad,2000,14.95,2500,15.71,674.5,4806.5132,0.827960014,38.8
Chad,2010,15.63,2900,15.97,678.3,11111.9517,2.096060038,31.4
Chad,2015,16.16,3300,13.97,653.6,11140.0416,3.251300097,28
Chad,2019,16.54,3500,13.22,626.2,9275.9823,,31.7
Chile,2000,21.32,550,10.52,450.1,47798.9669,35.37630081,3.4
Chile,2010,22.45,550,11.01,402.2,65073.2259,67.86342621,3.4
Chile,2015,23.61,450,9.17,357.7,70537.9846,85.26672363,3.1
Chile,2019,24.27,360,8.04,328.5,74641.7494,93.10112762,2.6
China,2000,18.43,110000,14.85,687.6,26740.2335,7.590410233,10
China,2010,19.58,52000,9.59,590.7,63219.9633,24.19849014,2.5
China,2015,20.58,39000,7.08,521.4,93527.6995,46.04042816,2.5
China,2019,21.06,31000,6.67,491.5,117984.9065,53.76491165,2.5
Colombia,2000,21.74,1300,5.3,422.4,11327.9792,24.49200058,8.7
Colombia,2010,23.03,1000,3.85,362.7,18547.2408,39.41331863,12.9
Colombia,2015,23.42,1100,4.04,346.6,22737.287,53.28213882,6.5
Colombia,2019,23.96,1200,3.74,326,23148.1776,54.97652054,7.2
Comoros,2000,16.34,42,10.87,687.3,16060.6345,1.454560041,
Comoros,2010,17.6,47,9.01,603.1,18411.1882,5.782959938,
Comoros,2015,17.92,50,8.8,597.7,19817.9381,,
Comoros,2019,18.13,73,8.46,577.9,20797.3957,,
Republic of the Congo,2000,13.87,570,24.75,946.4,14332.8151,5.078979969,27
Republic of the Congo,2010,15.67,1900,15.79,758.5,19470.0599,,36.5
Republic of the Congo,2015,16.11,2700,12.46,685.2,16604.6142,,25.2
Republic of the Congo,2019,16.45,2900,11.62,642.9,10516.2256,,29.9
Costa Rica,2000,22.38,79,6.85,410,33466.8344,,4.7
Costa Rica,2010,23.97,47,6.76,354.1,45515.7011,,4.6
Costa Rica,2015,24.87,33,6.41,312.6,52904.4921,53.05263138,4.1
Costa Rica,2019,25.03,38,7.62,309.2,50846.5734,57.67481995,3.4
Ivory Coast,2000,14.5,8600,23.99,779.9,1661.6551,,20.4
Ivory Coast,2010,15.65,6400,20.01,723.7,1923.1488,7.672249794,13.6
Ivory Coast,2015,16.39,5300,17.71,663.8,2136.4885,8.794380188,8.3
Ivory Coast,2019,17.08,5600,15.66,618.1,1238.9179,9.952599525,4.7
Croatia,2000,19.02,180,16.3,630.8,68754.9133,32.38116837,6.8
Croatia,2010,20.42,83,13.2,537.1,65494.6579,54.02853012,2.5
Croatia,2015,21.05,46,12.15,493.9,69605.8659,66.4910202,2.5
Croatia,2019,21.76,36,11.01,443.7,85837.7177,67.72174835,2.5
Cuba,2000,21.6,53,15.63,451.3,13042.8691,22.03743935,2.5
Cuba,2010,21.53,45,11.45,446.9,32674.1056,94.85228729,2.5
Cuba,2015,21.81,49,10.36,427.9,40588.8638,36.11420059,2.5
Cuba,2019,21.59,35,10.19,431.2,45821.437,44.25410843,2.5
