Country,Year,Life expectancy,"Number of death due to tuberculosis, excluding HIV",Age-standarized suicide rates (per 100000 population),Total NCD Death(inthousands),Per adult national income,"School enrollment, tertiary (% gross)",Prevalence of undernourishment (% of population)
Liberia,2010,16.71,1600,8.68,572,1290.5911,9.531189919,34.5
Liberia,2015,17.06,3200,7.71,514.7,21004.1569,,36.4
Liberia,2019,17.75,2800,7.37,506.4,7679.2846,,39.2
Libya,2000,20.99,370,5.3,506.2,51198.3468,48.40504837,
Libya,2010,21.52,340,5.44,476.3,129051.5357,,
Libya,2015,21.34,680,5.48,473,82950.5095,,
Libya,2019,21.26,790,4.49,479,103817.3752,,
Lithuania,2000,19.46,380,45.75,635.7,48138.5595,50.89682007,2.5
Lithuania,2010,19.87,220,31.32,615.7,70591.5507,86.5725708,2.5
Lithuania,2015,20.32,190,28.93,572.7,85691.749,69.74053955,2.5
Lithuania,2019,20.93,120,20.15,525,109190.097,72.00897217,2.5
Luxembourg,2000,21.77,3,13.45,439.7,447801.2799,9.814740181,2.5
Luxembourg,2010,23.54,1,9.62,343.6,683826.9861,18.2652092,2.5
Luxembourg,2015,24.44,1,9.57,304.5,613896.523,19.77630997,2.5
Luxembourg,2019,24.4,2,8.62,303.1,478432.1615,18.43000031,2.5
Madagascar,2000,15.38,14000,10.75,742.7,6200.5179,2.171109915,33.8
Madagascar,2010,16.12,12000,10.18,712.9,7797.7806,3.669960022,28.2
Madagascar,2015,16.5,12000,9.53,681.4,7414.6613,4.806190014,40.2
Madagascar,2019,16.76,12000,9.18,665.2,8043.6961,,47.4
Malawi,2000,13.96,2300,19.22,832.6,201.0179,0.351980001,23.6
Malawi,2010,16.01,3000,16.03,723.4,1809.1417,0.715919971,15.5
Malawi,2015,16.87,3700,12.59,633.7,1324.6871,0.818660021,16
Malawi,2019,17.24,2700,10.58,589.8,1622.5815,,17.6
Malaysia,2000,18.09,1500,6.1,618.9,4073.0442,25.61568069,2.5
Malaysia,2010,19.18,1500,5.3,524.3,22243.9953,37.02888107,3.4
Malaysia,2015,19.89,1500,5.22,478.3,29342.4786,45.59270859,3.8
Malaysia,2019,19.5,1600,5.77,501.1,35674.5036,43.06161118,2.6
Maldives,2000,17.95,14,5.3,692.2,13851.1735,,
Maldives,2010,20.3,8,3.05,502.7,17462.2435,,
Maldives,2015,21.34,7,2.95,448,19761.0552,,
Maldives,2019,22.15,10,2.76,402,23541.2714,34.12194061,
Mali,2000,16.02,1500,8.78,689.2,8969.2425,1.936830044,16.2
Mali,2010,16.84,1700,8.69,658.4,14394.412,6.129809856,5.8
Mali,2015,17.08,1400,8.46,640.7,15427.0986,5.503170013,3.4
Mali,2019,17.46,1600,7.96,611.4,17023.4713,,5.6
Malta,2000,20.81,3,6.01,473,128985.5027,21.58163071,2.5
Malta,2010,23.2,3,6.63,371.9,150351.072,37.38576126,2.5
Malta,2015,24.23,2,6.55,326,174568.2777,47.12258148,2.5
Malta,2019,24.49,1,5.32,314.7,203557.7913,64.87290955,2.5
Mauritania,2000,17.12,1500,6.39,533.2,8097.8951,,8.3
Mauritania,2010,18.49,960,5.49,481.8,16402.2213,4.362410069,8.2
Mauritania,2015,18.84,920,5.33,472.3,14777.4735,5.612140179,8.3
Mauritania,2019,18.98,690,5.47,476.2,16747.8848,5.763249874,9.2
Mauritius,2000,17.83,6,11.47,736.8,97837.2833,11.0313797,5.7
Mauritius,2010,19.39,12,7.37,624.6,272829.0885,33.69147873,4.3
Mauritius,2015,20.16,16,7.51,584,241657.0026,37.41527939,5.6
Mauritius,2019,20.29,18,8.75,581.5,190326.3557,44.39152908,7.2
Mexico,2000,21.57,3700,3.86,472.4,55090.6983,20.49101067,3.3
Mexico,2010,21.52,2600,4.66,474.3,69635.4015,27.56347084,4.8
Mexico,2015,21.73,2200,5.6,470,77497.2268,31.8190403,5
Mexico,2019,21.84,2200,5.29,464.8,81239.1708,42.83069992,6
Micronesia,2000,14.63,13,27.98,1145,18175.9995,14.11797047,
Micronesia,2010,14.87,24,26.99,1132,19601.7605,,
Micronesia,2015,14.78,14,28.37,1152,20862.6843,,
Micronesia,2019,14.7,12,28.99,1171,17804.2671,,
Mongolia,2000,13.42,500,23.63,1311,30505.2018,30.17548943,31.1
Mongolia,2010,15.09,340,22.4,1101,43698.2516,53.73474121,16.5
Mongolia,2015,16.5,330,19.68,930.5,55148.831,68.04701233,8.4
Mongolia,2019,16.41,330,18.02,939.2,57934.9036,68.75351715,4
Montenegro,2000,19.21,0,18.94,638.8,18318.9209,,9.6
Montenegro,2010,18.97,1,16.52,644.4,37433.8432,52.22526932,2.5
Montenegro,2015,18.99,1,16.35,639,45561.0695,,2.5
Montenegro,2019,19.44,1,16.22,603.1,56841.6941,54.17481995,2.5
Morocco,2000,18.41,2700,10.85,663.6,6308.8563,10.17603016,6.3
Morocco,2010,18.72,2600,9.53,642.3,13504.722,14.5676403,5.1
Morocco,2015,18.54,2800,7.63,656,14957.7952,28.40354919,3.8
Morocco,2019,18.67,2900,7.29,644,16148.8117,38.54533005,4.4
Mozambique,2000,15.23,6500,20.91,761.5,6237.1334,0.659950018,36.5
Mozambique,2010,15.1,7200,25.31,821.8,10663.1198,4.662000179,24.1
Mozambique,2015,15.29,9000,23.97,805.4,11049.7547,6.659150124,29.7
Mozambique,2019,15.8,5800,23.19,778.6,9458.036,,31.8
Myanmar,2000,15.43,86000,5.14,822.1,6667.1459,,37.6
Myanmar,2010,16.97,49000,3.75,735.5,20094.419,,10.2
Myanmar,2015,17.68,30000,3.34,694.2,26606.2338,,4.2
Myanmar,2019,18.06,19000,2.96,673.7,32694.9058,,2.5
Namibia,2000,14.64,840,27.49,829.2,11702.623,,13.5
Namibia,2010,16.45,1600,17.99,689.5,25289.5911,,28.8
Namibia,2015,16.99,1500,16.29,671.3,27509.0342,20.59754944,21
Namibia,2019,17.24,1400,13.51,627.9,24134.733,,18.9
Nepal,2000,17.59,31000,10.87,485.9,7434.1085,4.188159943,23.5
Nepal,2010,18.1,22000,10.52,554.8,11919.1603,14.33990002,9.9
Nepal,2015,17.83,18000,9.83,597.4,15106.5184,14.96646023,5.3
Nepal,2019,18.01,17000,9.77,602.7,16673.0346,13.32682991,4.8
Netherlands,2000,21.32,96,8.09,465.1,199120.3075,52.28482056,2.5
Netherlands,2010,23.29,56,8.06,362.6,236425.8125,63.71601868,2.5
Netherlands,2015,23.63,37,9.31,342.8,243697.5769,80.5699234,2.5
Netherlands,2019,24.08,21,9.27,319.9,282618.7168,,2.5
New Zealand,2000,22.38,25,12.37,430.7,158431.91,,2.5
New Zealand,2010,24.2,17,12.02,340.8,211121.227,,2.5
New Zealand,2015,24.28,21,11.13,331.7,240956.6026,80.56337738,2.5
New Zealand,2019,24.83,13,10.3,308.9,311460.7178,80.30255127,2.5
Nicaragua,2000,20.06,320,6.28,529.9,21160.1367,,27.5
Nicaragua,2010,19.62,260,5.37,558.9,29090.5433,16.07338715,20
Nicaragua,2015,19.91,180,4.47,554.1,34032.1208,19.06928062,19
Nicaragua,2019,20.03,140,4.66,546.8,32043.5878,19.56017494,17.5
Niger,2000,15.79,6700,9.51,621.7,1282.4564,,
Niger,2010,16.59,3600,10.39,618,3282.3019,1.372640014,
Niger,2015,16.82,3900,10.39,616.5,3484.4875,3.299669981,
Niger,2019,17.19,3700,10.15,599.7,3756.4162,4.228240013,
Nigeria,2000,16.19,80000,9.18,641.6,18060.4703,,8.9
Nigeria,2010,17.28,88000,8.79,584.8,36690.7697,9.57199955,8.2
Nigeria,2015,17.81,114000,7.31,554.3,42884.6298,,9.2
Nigeria,2019,18.24,129000,6.87,530.2,41065.1504,,12
Norway,2000,21.97,56,13.02,428.7,130475.785,69.27863312,2.5
Norway,2010,23.5,29,10.89,349.5,246852.582,73.49385834,2.5
Norway,2015,24.2,12,10.59,313.1,361326.777,77.9589386,2.5
Norway,2019,24.66,18,9.91,291.3,397181.1055,83.23069,2.5
Oman,2000,15.65,20,6.71,866.9,30136.8073,,12.3
Oman,2010,15.88,16,6.1,821.6,53109.6521,23.34454918,7.7
Oman,2015,16.68,18,4.7,781.7,49684.4531,39.23263931,8.1
Oman,2019,17.8,17,4.47,683.6,45210.5077,40.44564056,8.8
Pakistan,2000,15.72,58000,11.1,844.7,10057.3733,,21.1
Pakistan,2010,16.4,51000,10.16,815.2,15272.273,,15.4
Pakistan,2015,16.83,48000,9.96,784.5,17235.6238,9.225899696,12.8
Pakistan,2019,17.26,43000,9.77,753.4,18477.5366,12.22064018,14.1
Panama,2000,23.32,190,5.9,373.7,6381.4696,41.33280945,24.5
Panama,2010,23.33,190,4.33,355.2,21368.0465,44.25146866,10.9
Panama,2015,24.01,230,2.95,342.3,29311.7019,47.26562881,8.1
Panama,2019,24.26,210,2.86,333.7,33656.9399,,5.4
Papua New Guinea,2000,16.35,6100,2.83,750.3,8177.4713,,26.3
Papua New Guinea,2010,16.09,7700,3.29,828.7,11717.5476,,26.2
Papua New Guinea,2015,16.33,4600,3.65,847.5,12983.004,,23
Papua New Guinea,2019,16.48,4500,3.57,837.5,13606.0596,,21.9
Paraguay,2000,22.02,210,3.64,426.9,47103.579,15.88856983,10.5
Paraguay,2010,21.57,230,3.82,450.5,64871.018,34.63021088,7.7
Paraguay,2015,21.81,240,5.85,446.6,68066.4214,,7.4
Paraguay,2019,21.78,270,6.16,447.1,70265.3759,,8.2
Peru,2000,22.31,3900,3.43,376.7,19897.2314,33.815979,21.5
Peru,2010,23.04,2600,3.63,357,35479.5201,,8.7
Peru,2015,24.03,2400,2.77,314.6,43868.04,,5.9
Peru,2019,24.38,2400,2.73,302.7,45198.9614,,8.1
Philippines,2000,17.64,33000,2.26,650.6,3350.0238,,18.7
Philippines,2010,18.03,28000,2.89,643.6,9358.2113,29.56384087,12.2
Philippines,2015,17.84,27000,2.71,673.2,12909.4695,37.80009842,10.2
Philippines,2019,17.77,29000,2.54,713.6,17774.081,31.62248993,5.5
Poland,2000,19.2,1200,15.31,639.8,23887.9068,49.67464828,2.5
Poland,2010,20.99,620,15.51,520.6,37793.9087,74.75524902,2.5
Poland,2015,21.5,580,13.15,482.1,44834.7159,66.94615173,2.5
Poland,2019,22.13,510,9.3,441.6,56875.0019,69.18402863,2.5
Portugal,2000,21.21,390,5.45,486.3,169487.4467,47.86975098,2.5
Portugal,2010,23.1,230,8.83,377.6,212605.6557,65.60205078,2.5
Portugal,2015,23.8,220,8.31,339.1,201248.0817,61.75632858,2.5
Portugal,2019,24.34,240,7.22,317.6,212598.9694,67.93070221,2.5
Qatar,2000,15.93,6,7.62,869.3,686083.1524,,
Qatar,2010,17.26,5,6.39,794.4,217944.8316,9.360969543,
Qatar,2015,18.99,7,4.85,695.6,230261.9192,14.70129013,
Qatar,2019,19.5,8,4.66,650.1,201789.3661,18.9489994,
South Korea,2000,20.69,4000,13.9,495.3,117587.2678,76.65550232,2.5
South Korea,2010,23.72,3000,27.98,324.6,205267.3707,102.7910233,2.5
South Korea,2015,24.82,2600,21.2,275.2,229048.2054,94.33984375,2.5
South Korea,2019,25.8,1900,21.16,237.1,269457.893,98.44618988,2.5
Moldova,2000,15.77,770,16.32,983.7,5663.6943,,
Moldova,2010,16.53,560,17.64,866.9,11955.4047,,
Moldova,2015,17.76,250,13.68,748.2,13555.742,52.1283493,
Moldova,2019,19.02,160,12.17,638,15904.4172,56.27151108,
Romania,2000,18.19,2100,11.33,737.9,49080.0586,23.92625999,2.5
Romania,2010,19.23,1500,10.71,648,65656.5897,63.99544144,2.5
Romania,2015,19.87,1100,9.06,592.4,75720.0971,46.72668839,2.5
Romania,2019,20.25,930,7.33,555.3,101345.2179,51.3538208,2.5
Russia,2000,16.38,32000,48.89,937.6,39925.6561,55.79957962,4
Russia,2010,17.76,23000,33.01,805.3,91587.0566,,2.5
Russia,2015,19.11,14000,27.87,688,82604.7413,79.93813324,2.5
Russia,2019,19.93,8000,21.6,619.5,75874.9955,86.40014648,2.5
Rwanda,2000,13.37,440,25.56,995.9,1527.9665,1.317389965,38.5
Rwanda,2010,17.37,650,11.5,629.4,3938.6062,5.929900169,31.4
Rwanda,2015,17.88,570,9.89,591.6,4486.6085,7.61135006,35.3
Rwanda,2019,18.02,640,9.45,579,4990.7284,6.235390186,35.2
Saint Lucia,2000,20.03,1,8.08,579.3,5224.4515,,
Saint Lucia,2010,22.02,1,7.63,474.4,4047.0514,12.39398956,
Saint Lucia,2015,21.69,2,7.89,486.2,1225.9609,16.3260498,
Saint Lucia,2019,20.91,2,6.85,515.7,9539.0627,15.37464046,
Saint Vincent and the Grenadines,2000,18.52,4,6.45,684.3,4754.9435,,13.4
Saint Vincent and the Grenadines,2010,19.82,6,2.88,578.9,4737.1657,,5.8
Saint Vincent and the Grenadines,2015,20.09,1,3.31,575,1670.6056,23.66991997,5.9
Saint Vincent and the Grenadines,2019,20.87,1,1.01,537.2,10548.5209,,6.6
Samoa,2000,17.05,4,16.26,832.8,29574.6229,7.563829899,3.5
Samoa,2010,17.51,1,14.83,795.1,38951.7454,,4.2
Samoa,2015,17.68,2,14.94,782.3,39919.9898,,4.4
Samoa,2019,17.86,2,14.6,765.7,41408.548,14.02355003,4.4
Saudi Arabia,2000,17.5,1100,3.84,721.7,183960.9752,22.32136917,4.9
Saudi Arabia,2010,18.3,1000,5.66,673.4,178160.4857,36.62677002,5.9
Saudi Arabia,2015,19.22,870,5.95,604,189149.9745,61.05635071,3.7
Saudi Arabia,2019,19.9,790,5.43,558.1,154192.6363,70.90087891,3.9
Senegal,2000,16.61,2700,14.44,640.5,1515.7077,,24.1
Senegal,2010,17.57,2500,12.37,588.4,4368.0769,7.59141016,11.3
Senegal,2015,17.85,2200,11.81,574.7,4512.2226,10.75214005,10.7
Senegal,2019,18.15,2600,10.99,551.4,5575.7671,13.1359396,7.4
Serbia,2000,17.11,0,18.91,827.5,-8049.4131,,3.1
Serbia,2010,18.63,150,12.42,677.9,-3575.4154,49.08272171,2.5
Serbia,2015,19.23,75,11.69,631.9,-20424.9907,58.28768921,4.1
Serbia,2019,19.58,54,7.86,600.8,-23152.6443,67.7898407,3.7
Seychelles,2000,18.97,2,9.76,637.6,7543.2905,,
Seychelles,2010,19.33,0,7.42,588.4,16449.9972,,
Seychelles,2015,19.53,1,7.65,567.8,21975.1728,14.38099003,
Seychelles,2019,19.5,1,7.73,569.9,17407.8394,19.17317009,
Sierra Leone,2000,15.37,3300,10.13,643.2,7157.8563,1.580659986,50.7
Sierra Leone,2010,15.7,3300,12.16,690.4,11932.1095,,29.1
Sierra Leone,2015,16.36,4100,10.53,636.9,12617.6283,,25.8
Sierra Leone,2019,16.99,2500,11.25,636.3,13579.7652,,27.9
Singapore,2000,21.46,120,11.42,404.5,284556.4057,,
Singapore,2010,24.1,89,8.23,284.3,413986.014,,
Singapore,2015,25.06,48,7.56,247.7,440165.9807,,
Singapore,2019,25.54,25,9.65,234.8,440822.0784,91.08898926,
Slovakia,2000,18.51,53,12.63,675.1,76669.2343,28.41184044,6.1
Slovakia,2010,19.8,35,11.14,573.1,108006.8185,57.0667305,5
Slovakia,2015,20.95,35,9.8,496.9,112732.7269,50.70005035,5.8
Slovakia,2019,21.81,14,9.31,441.8,126036.1668,46.42901993,3.7
Slovenia,2000,20.47,22,25.64,517.9,132390.0754,55.21221161,2.5
Slovenia,2010,22.77,20,15.56,393.6,161501.3559,89.15319061,2.5
Slovenia,2015,23.28,11,14.75,363.1,147656.6198,80.26098633,2.5
Slovenia,2019,23.82,14,13.97,339.8,167170.346,77.88276672,2.5
Solomon Islands,2000,14.42,43,17.37,833.6,8342.4571,,13.3
Solomon Islands,2010,14.88,48,18.6,939.9,10118.4619,,13.7
Solomon Islands,2015,15.27,58,17.94,926,11998.823,,18.5
Solomon Islands,2019,15.47,49,17.37,909.1,13381.5911,,17.8
Somalia,2000,13.07,7900,16.78,815,3414.0527,,70.6
Somalia,2010,13.69,10000,15.38,796.8,4932.3873,,70.4
Somalia,2015,14.23,10000,15.03,784.5,6076.588,,59.9
Somalia,2019,14.54,11000,14.66,769.2,7253.3151,,54.8
South Africa,2000,16.22,27000,26.56,809.6,36940.3,,3.9
South Africa,2010,16.92,27000,26.92,782.7,53156.8,18.36263084,3.7
South Africa,2015,17.68,20000,25.55,722,54598,22.26092911,5.2
South Africa,2019,19.12,22000,23.49,618.4,51332.7,23.86655998,6.3
South Sudan,2000,16.3,0,7.89,528.3,1142.9296,,
South Sudan,2010,17.17,0,6.64,475.6,2512.1287,,
South Sudan,2015,17.44,6100,6.41,467.2,1020.3358,,
South Sudan,2019,17.79,3600,6.69,481.1,1465.3858,,
Spain,2000,22.7,540,6.56,410.8,159528.7508,57.72711182,2.5
Spain,2010,24.42,410,5.05,331.8,243215.5525,75.91094971,2.5
Spain,2015,24.71,250,5.64,311.2,211279.4075,85.61177826,2.5
Spain,2019,25.39,230,5.28,282.1,223353.7314,92.88234711,2.5
Sri Lanka,2000,19.62,1300,27.43,593.4,1593.3116,,16.7
Sri Lanka,2010,20.03,950,21.87,544.1,9272.138,16.33612061,9.6
Sri Lanka,2015,20.71,740,14.7,486.6,13157.4373,19.75836945,5.2
Sri Lanka,2019,20.76,750,12.89,466.7,14770.8426,21.12770081,3.7
Sudan,2000,17.27,11000,5.56,693.3,9759.5691,6.744130135,21.5
Sudan,2010,18.21,11000,5.15,640.6,15695.7529,15.91798019,16.5
Sudan,2015,18.52,6800,4.89,636.7,11022.1286,16.91901016,11.2
Sudan,2019,18.64,4300,4.76,625.7,3796.2537,,11.7
Suriname,2000,18.93,5,24.96,612.3,36890.4714,,11.8
Suriname,2010,19.87,18,27.42,566.2,57073.3669,,7.3
Suriname,2015,19.84,13,25.91,570.8,56866.6392,,7.8
Suriname,2019,18.46,14,25.89,665.4,44620.8537,,8
Sweden,2000,22.42,71,12.21,404.4,61004.1187,67.07479858,2.5
Sweden,2010,23.66,36,12.01,343.1,101544.9794,73.67311096,2.5
Sweden,2015,24.02,25,13.02,321,118247.4745,62.28247833,2.5
Sweden,2019,24.5,22,12.37,300.5,141911.6901,77.32910919,2.5
Switzerland,2000,22.99,46,15.89,381,266185.3194,37.77896118,2.5
Switzerland,2010,24.65,28,10.54,309.7,287409.2889,52.93772888,2.5
Switzerland,2015,24.84,17,10.5,294.1,356169.1879,57.70735168,2.5
Switzerland,2019,25.43,17,9.83,269.6,396955.0683,63.30805969,2.5
Syria,2000,17.63,79,2.01,777.8,19276.2438,,
Syria,2010,19.21,30,1.81,634.7,31313.9664,25.85339928,
Syria,2015,16.23,26,1.95,588.7,17752.3167,42.67733002,
Syria,2019,18.72,27,2.11,633.5,17752.5406,43.04687881,
Tajikistan,2000,17.2,910,5.08,774.7,3825.5334,17.85551071,
Tajikistan,2010,15.62,820,4.98,909,8724.0593,22.8998394,
Tajikistan,2015,15.51,770,5.19,943,11180.2432,26.58861923,
Tajikistan,2019,16.12,730,5.32,876.1,11671.2372,,
Thailand,2000,20.77,13000,11.59,510.1,3676.6366,34.87945175,17.3
Thailand,2010,22.82,8600,7.29,389.5,14844.0386,50.3747406,9.9
Thailand,2015,23.53,9900,7.15,360.7,16190.6407,,7.3
Thailand,2019,23.57,9800,7.95,362.6,21596.1641,,8
East Timor,2000,17.86,0,4.88,539.4,16777.464,,41.5
East Timor,2010,18.28,500,4.15,573,57648.0109,17.75373077,31.2
East Timor,2015,18.02,1200,4.38,541,68214.3326,,24.5
East Timor,2019,17.9,1100,4.53,570.4,67181.192,,25
Togo,2000,15.68,310,17.28,728.2,345.3048,,31.3
Togo,2010,15.93,750,18.2,734,2260.4854,9.335940361,20.8
Togo,2015,16.49,480,16.69,694.3,3885.5616,11.5625,20.5
Togo,2019,17.03,220,14.81,649.4,4349.9326,13.67588043,20.1
Tonga,2000,17.99,2,5.13,708.2,12003.5253,4.856430054,
Tonga,2010,18.93,1,5.34,655.4,16049.3025,,
Tonga,2015,18.89,1,5.3,655.5,20051.5595,,
Tonga,2019,19.03,1,4.37,624.8,24435.8067,,
Trinidad and Tobago,2000,18.14,29,16.19,731.4,835.9949,6.060530186,10
Trinidad and Tobago,2010,19.61,23,10.59,608.2,26168.6068,,8.2
Trinidad and Tobago,2015,21.59,21,9.54,500.1,34726.2233,,6.8
Trinidad and Tobago,2019,22.72,22,8.28,439,30683.6805,,7.3
Tunisia,2000,20.14,170,3.9,545.6,5538.6745,19.20266914,4.4
Tunisia,2010,20.85,170,3.37,498.8,12649.0985,35.41902924,3.4
Tunisia,2015,21.21,150,3.03,476.2,12368.7592,35.19113922,2.5
Tunisia,2019,21.54,140,3.18,462.5,11929.0422,31.84726906,2.6
Turkey,2000,21.46,1600,4.21,515,16091.7768,,2.5
Turkey,2010,21.2,870,2.47,494.4,25768.2644,,2.5
Turkey,2015,21.48,550,2.26,463.9,30802.6928,,2.5
Turkey,2019,22.03,420,2.34,436.8,35019.0344,115.0420609,2.5
Turkmenistan,2000,16.28,1200,13.85,937.2,10359.536,,6.8
Turkmenistan,2010,17.2,850,8.65,807.7,21368.1253,,4.3
Turkmenistan,2015,18.04,570,6.62,721.6,32428.1477,,3.4
Turkmenistan,2019,18.74,630,6.07,668.2,41413.7515,14.22867012,3.5
Uganda,2000,14.66,6400,21.65,788.9,6491.5858,2.647340059,
Uganda,2010,16.74,5600,14.64,639.6,12091.8678,4.063210011,
Uganda,2015,17.36,9300,11.04,589.6,12628.4452,5.224750042,
Uganda,2019,17.7,6900,10.45,572.2,13028.3705,,
Ukraine,2000,16.77,11000,33.48,895.1,7256.585,48.7762413,3
Ukraine,2010,17.68,7900,20.17,791.9,19352.4595,80.17552948,2.5
Ukraine,2015,18.93,5000,17.87,680,17448.6285,,2.5
Ukraine,2019,19.49,3700,17.73,649,21724.054,,2.6
UAE,2000,18.69,22,8.01,623.4,573837.1639,,2.8
UAE,2010,19.53,57,6.42,555.4,264466.3182,,8.4
UAE,2015,19.41,60,5.25,552.5,317883.2734,,6.5
UAE,2019,19.92,62,5.24,528.4,336318.8544,52.60697937,6
UK,2000,21.31,510,7.74,447.4,160420.9994,58.47404099,2.5
UK,2010,23.36,380,6.95,372.6,177328.1447,58.92335129,2.5
UK,2015,23.52,350,7.81,358,192438.4764,56.45848846,2.5
UK,2019,24.13,230,6.88,329.9,201378.3744,65.77336121,2.5
USA,2000,21.41,910,10.02,481.7,219434.17,,2.5
USA,2010,22.96,620,11.72,409.8,204115.2,,2.5
USA,2015,23.11,510,12.86,406.6,246374.8915,88.88941193,2.5
USA,2019,23.13,580,14.51,407.9,280527.9865,87.88871002,2.5
Uruguay,2000,20.59,77,14.5,527.7,47251.8825,33.92599869,3.6
Uruguay,2010,21.25,47,14.26,472,66856.6161,51.23524094,2.5
Uruguay,2015,21.78,90,16.66,445.6,76193.8633,59.6962204,2.5
Uruguay,2019,21.67,83,18.83,445.2,78470.5852,65.15686035,2.5
Uzbekistan,2000,16.05,4600,12.05,932.4,16919.2,13.07149982,17.9
Uzbekistan,2010,17.28,2700,8.3,768.4,27620.6265,9.377269745,5.4
Uzbekistan,2015,17.76,2000,9.2,738.1,35372.8148,8.224089622,2.5
Uzbekistan,2019,18.64,1000,8.28,673.1,40741.0192,12.5820303,2.5
Vanuatu,2000,14.99,27,23.22,1015,14565.9981,3.829090118,7.5
Vanuatu,2010,15.33,15,22.15,1005,13371.9699,,6.3
Vanuatu,2015,15.51,19,21.18,998.7,11913.3955,,10.3
Vanuatu,2019,15.68,17,20.96,986.3,13113.8959,,12.4
Venezuela,2000,21.26,680,6.35,468.4,96182.9881,28.65452957,14.9
Venezuela,2010,21.89,700,3.6,441.1,117666.7989,,2.5
Venezuela,2015,21.84,670,2.37,428.7,111295.4614,,11.3
Venezuela,2019,21.69,690,2.1,411.3,36625.952,,24.9
Vietnam,2000,18.85,29000,7.17,592.6,10633.2433,9.464670181,19.7
Vietnam,2010,19.2,18000,7.3,595.2,18862.3324,22.82085991,10.9
Vietnam,2015,19.4,14000,7.61,587,23537.0386,29.07345963,8.1
Vietnam,2019,19.6,9400,7.22,569.4,30400.508,28.63998032,6.2
Yemen,2000,16.8,3500,8.51,800.1,14553.8563,,26.7
Yemen,2010,17.78,1700,7.35,717.1,12270.0498,10.76455975,27.1
Yemen,2015,17.97,2600,6.8,700.4,5880.02,,43.4
Yemen,2019,17.77,2100,7.06,717.1,4211.3053,,42.8
Zambia,2000,13.2,3500,24.03,904.1,12801.4157,,
Zambia,2010,15.4,4000,19.71,769.1,22712.8184,,
Zambia,2015,16.13,4900,17.26,729,25948.9613,,
Zambia,2019,16.53,6100,14.43,679.4,27484.7428,,
Zimbabwe,2000,14.41,3300,19.98,608.2,14005.7739,,
Zimbabwe,2010,14.12,1100,35.01,861.8,-1243.7756,6.698379993,
Zimbabwe,2015,15.11,1100,30.74,800.1,-2537.6857,10.00654984,
Zimbabwe,2019,15.55,1700,23.63,735,-2515.2415,,
